start,end,sent,mention,labels,pos,ner,type,ner2
1,2,"The Kremlin leader , on the first day of a three-day official visit to Helsinki , assured Finland 's president that the Soviet Union has `` no moral or political right '' to interfere with moves toward democracy in Poland , Hungary or elsewhere in Eastern Europe .",Kremlin,/person/artist /person /person/artist/author /organization/government /organization /organization/company,"DT NNP NN , IN DT JJ NN IN DT JJ JJ NN TO NNP , VBD NNP POS NN IN DT NNP NNP VBZ `` DT JJ CC JJ NN '' TO VB IN NNS IN NN IN NNP , NNP CC RB IN NNP NNP .",O ORGANIZATION O O O O O O O O O O O O LOCATION O O LOCATION O O O O LOCATION LOCATION O O O O O O O O O O O O O O O LOCATION O LOCATION O O O LOCATION LOCATION O,O /location/city /contact/salutation O O /other/datetime /other/datetime /other/datetime O O /other/datetime O O O /location/city O O /location/country O /contact/salutation O O /location /location/city O O O O O O O O O O O O O /interest/ideology O /location/country O /location/country O O O /location /location O,O ORGANIZATION TITLE O O DURATION DURATION DURATION O O DURATION O O O ORGANIZATION O O COUNTRY O TITLE O O LOCATION CITY O O O O O O O O O O O O O IDEOLOGY O COUNTRY O COUNTRY O O O LOCATION LOCATION O
27,28,"Mr. Pilson says baseball and the Olympics may help CBS move up to No . 2 in the household ratings race , putting pizazz back into the network 's image .",network,/organization/company/broadcast /organization /organization/company,"NNP NNP VBZ NN CC DT NNPS MD VB NNP VB RB TO DT . CD IN DT NN NNS NN , VBG NN RB IN DT NN POS NN .",O PERSON O O O O O O O ORGANIZATION O O O O O O O O O O O O O O O O O O O O O,O /contact/name O O O O /other O O /other/organization/company/fortune1000 O O O O O /other/number O O O O O O O O O O O O O O O,O PERSON O O O O MISC O O ORGANIZATION O O O O O NUMBER O O O O O O O O O O O O O O O
1,2,"I write to you , fathers , because you know the one who existed from the beginning .",write,/person/title /person,"PRP VBP TO PRP , NNS , IN PRP VBP DT NN WP VBD IN DT NN .",O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O /other/number O O O O O O,O O O O O O O O O O O NUMBER O O O O O O
6,7,"I was very serious about serving God , the same as all of you here today .",God,/person /person/title /other/supernatural,"PRP VBD RB JJ IN VBG NNP , DT JJ IN DT IN PRP RB NN .",O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O /other/organization O,O O O O O O O O O O O O O O O DATE O
2,3,"Put on March 31 , 1992 , at an indicated 105 to yield 4.80 % .",March,/organization,"VB IN NNP CD , CD , IN DT JJ CD TO VB CD NN .",O O DATE DATE DATE DATE O O O O O O O PERCENT PERCENT O,O O /other/datetime/date /other/datetime/date /other/datetime/date /other/datetime/date O O O O /other/number O O /other/percent /other/percent O,O O DATE DATE DATE DATE O O O O NUMBER O O PERCENT PERCENT O
13,14,What does it mean to be a citizen of & quot ; the land of the free and the home of the brave & quot ; if we allow our minds and our nation to be so easily hijacked by a pack of lies construed by a foreign power that terrorizes our citizens and extorts our government officials ?,land,/location,WP VBZ PRP VB TO VB DT NN IN CC NN : DT NN IN DT JJ CC DT NN IN DT VBP CC NN : IN PRP VBP PRP$ NNS CC PRP$ NN TO VB RB RB VBN IN DT NN IN NNS VBN IN DT JJ NN WDT VBZ PRP$ NNS CC VBZ PRP$ NN NNS .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
0,1,This is a multi-societal country .,This,/other/body_part,DT VBZ DT JJ NN .,O O O O O O,O O O O O O,O O O O O O
164,165,"So , did these two Party members-LRB-Gao XX previously held the positions of chief of the Shandong Linyi administrative office , deputy head of the electrical utility bureau , assistant to the head of the Shandong electricity bureau , and general manager and party secretary of Shandong Luneng Stock Controlling Group . Having gone through all of Luneng 's stock transfers , he is still currently the chairman of Luneng Group . Xu X has served as head of the electrical utility bureau of Linyi , Shandong . In about 2003 he first entered the headquarters of Luneng Group as vice president assigned to manage property operations , after which he was very quickly promoted to the president of Luneng Group-RRB - , in the process of the series of mysterious stock deals at Luneng Group , carry out the unshirkable duties which the party members should undertake regarding state-owned assets and the public interest in strict accordance with the CPC Charter and the Party 's strict discipline ?",Party,/organization /organization/political_party /organization/company,"RB , VBD DT CD NNP NNP NNP RB VBD DT NNS IN NN IN DT NNP NNP JJ NN , NN NN IN DT JJ NN NN , NN TO DT NN IN DT NNP NN NN , CC JJ NN CC NN NN IN NNP NNP NNP NNP NNP . VBG VBN IN DT IN NNP POS NN NNS , PRP VBZ RB RB DT NN IN NNP NNP . NN NN VBZ VBN IN NN IN DT JJ NN NN IN NNP , NNP . IN RB CD PRP RB VBD DT NN IN NNP NNP IN NN NN VBN TO VB NN NNS , IN WDT PRP VBD RB RB VBD TO DT NN IN NNP NNP : , IN DT NN IN DT NN IN JJ NN NNS IN NNP NNP , VBP RP DT JJ NNS WDT DT NN NNS MD VB VBG JJ NNS CC DT JJ NN IN JJ NN IN DT NNP NNP CC DT NNP POS JJ NN .",O O O O O O O O O O O O O O O O LOCATION LOCATION O O O O O O O O O O O O O O O O O LOCATION O O O O O O O O O O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O LOCATION O LOCATION O O O DATE O O O O O O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O O O ORGANIZATION O O O ORGANIZATION O O O O,O O O O /contact/salutation /other/organization O /contact/last_name /other/datetime/date O O O O O O O /location/province /location/city O O O /contact/salutation O O O O O O O /contact/salutation O O O O O /location/province O O O O /contact/salutation /contact/salutation O /other/organization O O /other/organization /other/organization /other/organization /other/organization /other/organization O O O O O O /other/organization O O O O O O O /other/datetime/date O /contact/salutation O /other/organization /other/organization O /contact/first_name /contact/first_name O O O O O O O O O O /location O /location/province O O /other/datetime/date /other/datetime/date O /other/number O O O O /other/organization /other/organization O /contact/salutation /contact/salutation O O O O O O O O O O O O O O O /contact/salutation O /other/organization /other/organization O O O O O O O O O O O O O /other/organization /other/organization O O O O O O O O /other/organization O O O O O O O O O O O O O O O /other/organization /contact/salutation O O /other/organization O O O O,O O O O NUMBER O O O DATE O O O O O O O STATE_OR_PROVINCE LOCATION O O O TITLE O O O O O O O TITLE O O O O O STATE_OR_PROVINCE O O O O TITLE TITLE O O O O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O ORGANIZATION O O O O O O O DATE O TITLE O ORGANIZATION ORGANIZATION O PERSON PERSON O O O O O O O O O O LOCATION O STATE_OR_PROVINCE O O DATE DATE O ORDINAL O O O O ORGANIZATION ORGANIZATION O TITLE TITLE O O O O O O O O O O O O O O O TITLE O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O ORGANIZATION ORGANIZATION O O O O O O O O ORGANIZATION O O O O O O O O O O O O O O O ORGANIZATION TITLE O O ORGANIZATION O O O O
5,6,"Usually it means downstream industries coming first , forcing the mid-stream industries to follow , `` says Sylvia Yang , deputy chairperson of TBAD 's women 's division .",coming,/other/event,"RB PRP VBZ JJ NNS VBG RB , VBG DT NN NNS TO VB , `` VBZ NNP NNP , NN NN IN NN POS NNS POS NN .",O O O O O O O O O O O O O O O O O PERSON PERSON O O O O ORGANIZATION O O O O O,O O O O O O /other/number O O O O O O O O O O /contact/first_name /contact/first_name O /contact/salutation /contact/salutation O /other/organization O O O O O,O O O O O O ORDINAL O O O O O O O O O O PERSON PERSON O TITLE TITLE O ORGANIZATION O O O O O
54,55,"And here is a news flash for you : if you want to extort money from a corporation it 's very easy to fly to xxxxxxx cities , get a bunch of friends to sabotoge procucts , etc . The distibution chain is very long , from the factory to ulitmate destination of your cats food dish there is alot of stops along the way where the food can be tampered with .",cats,/other/living_thing/animal /other/living_thing,"CC RB VBZ DT NN NN IN PRP : IN PRP VBP TO VB NN IN DT NN PRP VBZ RB JJ TO VB TO VB NNS , VB DT NN IN NNS TO JJ NNS , FW . DT NN NN VBZ RB RB , IN DT NN TO VB NN IN PRP$ NNS NN NN EX VBZ NN IN NNS IN DT NN WRB DT NN MD VB VBN IN .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8,9,"The measure , which will take effect next Wednesday , will create a two-tier exchange rate .",Wednesday,/organization/sports_team /organization,"DT NN , WDT MD VB NN IN NNP , MD VB DT JJ NN NN .",O O O O O O O O DATE O O O O O O O O,O O O O O O O /other/datetime/date /other/datetime/date O O O O O O O O,O O O O O O O DATE DATE O O O O O O O O
2,3,As Johnson Lee says : `` Some people try to open the market with a shovel .,Lee,/person/artist/actor /person/artist /person/artist/author /person,IN NNP NNP VBZ : `` DT NNS VBP TO VB DT NN IN DT NN .,O PERSON PERSON O O O O O O O O O O O O O O,O /contact/first_name /contact/first_name O O O O O O O O O O O O O O,O PERSON PERSON O O O O O O O O O O O O O O
14,15,A pair of Laci Peterson 's missing shoes could be very important evidence in Scott 's murder trial .,Scott,/person/artist/author /person/artist /person,DT NN IN NNP NNP POS JJ NNS MD VB RB JJ NN IN NNP POS NN NN .,O O O PERSON PERSON O O O O O O O O O LOCATION O O O O,O O O /contact/name /contact/name O O O O O O O O O /contact/name O /bio/criminal_charge O O,O O O PERSON PERSON O O O O O O O O O PERSON O CRIMINAL_CHARGE O O
0,1,"The proposed acquisition is part of Sir James Goldsmith 's unfriendly takeover attempt for B.A.T Industries PLC , the British tobacco , retailing , paper and financial services concern that is parent of Los Angeles-based Farmers .",The,/person/artist /person/political_figure /person/artist/actor /person/artist/author /person/military /person,"DT VBN NN VBZ NN IN NNP NNP NNP POS JJ NN NN IN NNP NNP NNP , DT JJ NN , NN , NN CC JJ NNS NN WDT VBZ NN IN NNP JJ NNS .",O O O O O O O PERSON PERSON O O O O O ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O O O,O O O O O O O /contact/name /contact/name O O O O O /other/organization /other/organization /other/organization O O /bio/nationality /bio/cause_of_death O O O O O O O O O O O O /other /other /other/organization O,O O O O O O O PERSON PERSON O O O O O ORGANIZATION ORGANIZATION ORGANIZATION O O NATIONALITY CAUSE_OF_DEATH O O O O O O O O O O O O MISC MISC ORGANIZATION O
0,1,We ca n't keep up with our orders and have got to squeeze five days of work into every 24 hours . ``,We,/location/country /location,PRP MD RB VB RP IN PRP$ NNS CC VBP VBN TO VB CD NNS IN NN IN DT CD NNS . ``,O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O /other/datetime /other/datetime O O O /other /other /other O O,O O O O O O O O O O O O O DURATION DURATION O O O SET SET SET O O
24,25,"Therefore , they sent SMS saying , hey , it is unusual , ah , for me to be walking to the bus station today or going to take the bus .",today,/location,"RB , PRP VBD NNP VBG , NN , PRP VBZ JJ , RB , IN PRP TO VB VBG TO DT NN NN NN CC VBG TO VB DT NN .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O /other/organization O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O DATE O O O O O O O
3,4,"British life insurer London & General , which firmed 2 pence to 356 pence-LRB - $ 5.70-RRB - , and composite insurer Royal Insurance , which finished 13 lower at 475 , were featured in the talk .",London,/location/city /location,"JJ NN NN NNP CC NNP , WDT VBD CD NN TO CD NN : $ CD : , CC JJ NN NNP NNP , WDT VBD CD JJR IN CD , VBD VBN IN DT NN .",O O O ORGANIZATION ORGANIZATION ORGANIZATION O O O MONEY MONEY O O O O MONEY MONEY O O O O O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O,/bio/nationality O /contact/salutation /other/organization /other/organization /other/organization O O O /finance/currency /finance/currency O /other/number O O /finance/currency /finance/currency O O O O /contact/salutation /other/organization /other/organization O O O /other/number O O /other/number O O O O O /finance/currency /finance/currency,NATIONALITY O TITLE ORGANIZATION ORGANIZATION ORGANIZATION O O O MONEY MONEY O NUMBER O O MONEY MONEY O O O O TITLE ORGANIZATION ORGANIZATION O O O NUMBER O O NUMBER O O O O O O O
0,1,The average number of FT-SE option contracts traded on the London exchange has surged nearly tenfold since the contract 's launch in 1984 .,The,/person/artist /person/political_figure /person/artist/actor /person/artist/author /person/military /person,DT JJ NN IN NNP NN NNS VBN IN DT NNP NN VBZ VBN RB RB IN DT NN POS NN IN CD .,O O O O O O O O O O LOCATION O O O O O O O O O O O DATE O,O O O O O O O O O O /location/city O O O O O O O O O O O /other/datetime/date O,O O O O O O O O O O CITY O O O O O O O O O O O DATE O
8,9,"-LSB- saite -RSB- In terms of feasibility , Mongolia is more realistic than Taiwan .",Mongolia,/location/country /location,"-LRB- NN -RRB- IN NNS IN NN , NNP VBZ RBR JJ IN NNP .",O O O O O O O O LOCATION O O O O LOCATION O,O /other/organization O O O O O O /location/country O O O O /location/province O,O O O O O O O O COUNTRY O O O O COUNTRY O
15,16,"But , lucky for me , my reaction was see red anger instead of cowering fear .",fear,/other/health/malady /other/health,"CC , JJ IN PRP , PRP$ NN VBD VB JJ NN RB IN VBG NN .",O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O
3,4,I read the book have n't seen the DVD yet .,book,/other/product,PRP VBP DT NN VBP RB VBN DT NN RB .,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
18,19,"Died : Mary McCarthy , 77 , novelist and literary critic , in New York City , of cancer ... .",cancer,/other/health/malady /organization /other/health,"VBN : NNP NNP , CD , NN CC JJ NN , IN NNP NNP NNP , IN NN : .",O O PERSON PERSON O O O O O O O O O LOCATION LOCATION LOCATION O O O O O,O O /contact/name /contact/name O /other/number O /contact/salutation O O /contact/salutation O O /location/city /location/city /location/city O O /bio/cause_of_death O O,O O PERSON PERSON O NUMBER O TITLE O O TITLE O O CITY CITY CITY O O CAUSE_OF_DEATH O O
0,1,All the nations were tricked by your magic .,All,/location/country /location,PDT DT NNS VBD VBN IN PRP$ NN .,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
0,1,The angel carried me away by the Spirit to a very large and high mountain .,The,/organization/company/news /other/art /other/art/writing /organization /organization/company,DT NN VBD PRP RP IN DT NN TO DT RB JJ CC JJ NN .,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
33,34,We may all hope that California 's voters will heed the scientific realities that their own university 's renowned Prof. Tom Jukes provides them and ignore the charlatanry profferred by their `` wealthy Hollywood weepers . '',Hollywood,/location,PRP MD DT VB IN NNP POS NNS MD VB DT JJ NNS IN PRP$ JJ NN POS JJ NNP NNP NNP VBZ PRP CC VB DT NN VBN IN PRP$ `` JJ NNP NNS . '',O O O O O LOCATION O O O O O O O O O O O O O O PERSON PERSON O O O O O O O O O O O O O O O,O O O O O /location/province/us_province O O O O O O O O O O O O O /contact/salutation /contact/name /contact/name O O O O O O O O O O O /location/city O O O,O O O O O STATE_OR_PROVINCE O O O O O O O O O O O O O TITLE PERSON PERSON O O O O O O O O O O O CITY O O O
19,20,"`` Three of our favorite names , '' Mr. Della Femina calls that roster , adding hopefully , `` We 're a much more attractive agency to large multinationals today than we were yesterday . ''",We,/location/country /location,"`` CD IN PRP$ JJ NNS , '' NNP NNP NNP VBZ IN NN , VBG RB , `` PRP VBP DT RB RBR JJ NN TO JJ NNS NN IN PRP VBD NN . ''",O O O O O O O O O PERSON PERSON O O O O O O O O O O O O O O O O O O O O O O O O O,O /other/number O O O O O O O /contact/name /contact/name O O O O O O O O O O O O O O O O O O /other/organization O O O /other/organization O O,O NUMBER O O O O O O O PERSON PERSON O O O O O O O O O O O O O O O O O O DATE O O O DATE O O
0,1,Reporter :,Reporter,/person/title /person,NN :,O O,/contact/salutation O,TITLE O
25,26,"The man said to Joab , `` I would not try to hurt the king 's son even if you gave me 1000 pieces of silver .",silver,/other/health/treatment /other/scientific /other/health,"DT NN VBD TO NNP , `` PRP MD RB VB TO VB DT NN POS NN RB IN PRP VBD PRP CD NNS IN NN .",O O O O ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O,O O O O /contact/name O O O O O O O O O /contact/salutation O O O O O O O /other/number O O O O,O O O O PERSON O O O O O O O O O TITLE O O O O O O O NUMBER O O O O
3,4,"Alice Chang , CEO of CyberLink Corporation , whose firm has become a much-coveted new entry in the stock market and has drawn international attention with audio-visual software like Power DVD and Talking Show , says : `` Talented people are at the root of knowledge . ``",CEO,/person/title /person,"NNP NNP , NNP IN NNP NNP , WP$ NN VBZ VBN DT JJ JJ NN IN DT NN NN CC VBZ VBN JJ NN IN JJ NN IN NNP NN CC VBG NN , VBZ : `` JJ NNS VBP IN DT NN IN NN . ``",PERSON PERSON O O O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O,/contact/first_name /contact/first_name O /other/organization /other/organization /other/organization /other/organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,PERSON PERSON O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
13,14,"In his `` Measure , '' Mr. Boyd has `` modernized '' the pimps and prostitutes of Vienna whom Angelo is supposed to bring under control by converting them into transvestites , punk rockers and heavy metal types , with a strong emphasis on leather , chains and porno-inspired costumes .",pimps,/person/title /person,"IN PRP$ `` NN , '' NNP NNP VBZ `` VBN '' DT NNS CC NNS IN NNP WP NNP VBZ VBN TO VB IN NN IN VBG PRP IN NNS , NN NNS CC JJ NN NNS , IN DT JJ NN IN NN , NNS CC JJ NNS .",O O O O O O O PERSON O O O O O O O O O LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O /contact/first_name O O O O O /contact/name O O O O O O O O O /location/city O /contact/first_name O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O PERSON O O O O O O O O O CITY O PERSON O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1,2,"After Stewart was charged by federal authorities Wednesday , her lawyers issued a statement in which they said , quote , Martha Stewart has done nothing wrong .",Stewart,/person/political_figure /person/legal /person,"IN NNP VBD VBN IN JJ NNS NNP , PRP$ NNS VBD DT NN IN WDT PRP VBD , NN , NNP NNP VBZ VBN NN JJ .",O PERSON O O O O O DATE O O O O O O O O O O O O O PERSON PERSON O O O O O,O /contact/name O O O O O /other/organization O /contact/name O O O O O O O O O O O /contact/first_name /contact/first_name O O O O O,O PERSON O O O O O DATE O O O O O O O O O O O O O PERSON PERSON O O O O O
7,8,"This is how the word of the Lord was spreading in a powerful way , causing more and more people to believe .",Lord,/person /person/title /other/supernatural,"DT VBZ WRB DT NN IN DT NNP VBD VBG IN DT JJ NN , VBG JJR CC JJR NNS TO VB .",O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O
10,11,"Indeed , in early October the West German central bank raised its discount and Lombard rates by a full percentage point .",raised,/person/title /person,"RB , IN JJ NNP DT JJ JJ JJ NN VBD PRP$ NN CC NNP NNS IN DT JJ NN NN .",O O O O DATE O O O O O O O O O O O O O O O O O,O O O /other/datetime/date /other/datetime/date O /location /location O O O O O O /other/organization O O O O O O O,O O O DATE DATE O MISC NATIONALITY O O O O O O MISC O O O O O O O
3,4,Is there much support for that ?,support,/other/event /other/event/violent_conflict,VBZ RB JJ NN IN DT .,O O O O O O O,O O O O O O O,O O O O O O O
8,9,"Their factories may look like sets for a Spielberg movie , but their offices , with rows of clerks hunched over ledgers and abacuses , are more like scenes from a Dickens novel .",Spielberg,/person/artist/author /person/artist/director /person/artist/actor /person/artist /person,"PRP$ NNS MD VB IN NNS IN DT NNP NN , CC PRP$ NNS , IN NNS IN NNS VBN IN NNS CC NNS , VBP RBR IN NNS IN DT NNP NN .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O /contact/last_name O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O PERSON O O O O O O O O O O O O O O O O O O O O O O O O O
0,2,"The Fed chief opposed a bill-introduced by Reps. Lee Hamilton-LRB-D . , Ind.-RRB-and Byron Dorgan-LRB-D . , N.D.-RRB -- - that , among other things , would require the Fed to disclose all monetary policy moves immediately and increase outside scrutiny of the Fed .",The Fed,/location/structure /organization /location/structure/government /location,"DT NNP NN VBD DT JJ IN NNP NNP NNP . , NNP NNP NNP . , NN : : IN , IN JJ NNS , MD VB DT NNP TO VB DT JJ NN NNS RB CC VB JJ NN IN DT NNP .",O ORGANIZATION O O O O O O PERSON PERSON O O O PERSON PERSON O O O O O O O O O O O O O O ORGANIZATION O O O O O O O O O O O O O ORGANIZATION O,O /other/organization O O O O O O /contact/first_name /contact/first_name O O O O O O O O O O O O O O O O O O O /other/organization O O O O O O O O O O O O O /other/organization O,O ORGANIZATION O O O O O O PERSON PERSON O O O O O O O O O O O O O O O O O O O ORGANIZATION O O O O O O O O O O O O O ORGANIZATION O
7,8,"Dr. Toseland said most of the British diabetics who died had been taking a human-based insulin made by Novo/Nordisk , a Danish manufacturer .",diabetics,/other/health/malady /other/health,"NNP NNP VBD JJS IN DT JJ NNS WP VBD VBD VBN VBG DT JJ NN VBN IN NNP , DT JJ NN .",O PERSON O O O O O O O O O O O O O O O O O O O O O O,O /contact/name O O O O /bio/nationality O O O O O O O O O O O O O O /bio/nationality /contact/salutation O,O PERSON O O O O NATIONALITY O O O O O O O O O O O O O O NATIONALITY TITLE O
3,4,"Do n't be drunk with wine , which will ruin your life , but be filled with the Spirit .",drunk,/other/health/malady /other/health,"VBP RB VB JJ IN NN , WDT MD VB PRP$ NN , CC VB VBN IN DT NN .",O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O
39,40,"Standing Committee Member of the CCP Politburo , Ruihuan Li , State Council member , Junsheng Chen and Minister of Central Propaganda Ministry Renzhi Wang , Minister of Agriculture Ministry Zhongyi Liu , etc . attended the meeting and presented prizes to representatives of advanced units .",presented,/person/title /person,"VBG NNP NNP IN DT NNP NNP , NNP NNP , NNP NNP NN , NNP NNP CC NNP IN NNP NN NNP NNP NNP , NNP IN NNP NNP NNP NNP , FW . VBD DT NN CC VBD NNS TO NNS IN JJ NNS .",ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O PERSON PERSON O ORGANIZATION ORGANIZATION O O PERSON PERSON O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O,/other/organization /other/organization O O O /other/organization /other/organization O /contact/name /contact/name O /other/organization /other/organization O O /contact/name /contact/name O /contact/salutation O /other/organization /other/organization /other/organization /contact/name /contact/name O /contact/salutation O /other/organization /other/organization /contact/first_name /contact/first_name O O O O O O O O O O O O O O O,ORGANIZATION ORGANIZATION O O O ORGANIZATION ORGANIZATION O PERSON PERSON O ORGANIZATION ORGANIZATION O O PERSON PERSON O TITLE O ORGANIZATION ORGANIZATION ORGANIZATION PERSON PERSON O TITLE O ORGANIZATION ORGANIZATION PERSON PERSON O O O O O O O O O O O O O O O
4,5,In the play 's major scenes Mr. Boyd demonstrates that he has a firm grasp of the Shakespearean dynamic .,major,/person/title /person,IN DT NN POS JJ NNS NNP NNP VBZ IN PRP VBZ DT JJ NN IN DT JJ NN .,O O O O O O O PERSON O O O O O O O O O ORGANIZATION ORGANIZATION O,O O /contact/salutation O O O O /contact/name O O O O O O O O O /other O O,O O O O O O O PERSON O O O O O O O O O MISC O O
4,5,and they see Amy Gleason on occasion .,Gleason,/person/artist/author /person/artist/actor /person/artist /person/artist/music /person,CC PRP VBP NNP NNP IN NN .,O O O PERSON PERSON O O O,O O O /contact/first_name /contact/first_name O O O,O O O PERSON PERSON O O O
1,2,But Jehoram lived like the kings of Israel and did what the Lord saw as evil .,Jehoram,/person,CC NNP VBD IN DT NNS IN NNP CC VBD WP DT NNP VBD IN NN .,O PERSON O O O O O LOCATION O O O O O O O O O,O /contact/name O O O O O /location/country O O O O O O O O O,O PERSON O O O O O COUNTRY O O O O O O O O O
0,1,So then Eric got there,So,/person/title /person,RB RB NNP VBD EX,O O PERSON O O,O O /contact/first_name O O,O O PERSON O O
5,6,"Standing Committee Member of the CCP Politburo , Ruihuan Li , State Council member , Junsheng Chen and Minister of Central Propaganda Ministry Renzhi Wang , Minister of Agriculture Ministry Zhongyi Liu , etc . attended the meeting and presented prizes to representatives of advanced units .",CCP,/organization /organization/political_party /organization/company,"VBG NNP NNP IN DT NNP NNP , NNP NNP , NNP NNP NN , NNP NNP CC NNP IN NNP NN NNP NNP NNP , NNP IN NNP NNP NNP NNP , FW . VBD DT NN CC VBD NNS TO NNS IN JJ NNS .",ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O PERSON PERSON O ORGANIZATION ORGANIZATION O O PERSON PERSON O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O,/other/organization /other/organization O O O /other/organization /other/organization O /contact/name /contact/name O /other/organization /other/organization O O /contact/name /contact/name O /contact/salutation O /other/organization /other/organization /other/organization /contact/name /contact/name O /contact/salutation O /other/organization /other/organization /contact/first_name /contact/first_name O O O O O O O O O O O O O O O,ORGANIZATION ORGANIZATION O O O ORGANIZATION ORGANIZATION O PERSON PERSON O ORGANIZATION ORGANIZATION O O PERSON PERSON O TITLE O ORGANIZATION ORGANIZATION ORGANIZATION PERSON PERSON O TITLE O ORGANIZATION ORGANIZATION PERSON PERSON O O O O O O O O O O O O O O O
14,15,"The Property Insurance Co. of PICC , Ltd. , today provided an export credit insurance amount of 10.45 million US dollars to the Shanghai Zhenghua Harbor Machinery Company , Ltd. for them to export container cranes to Brazil .",insurance,/other/product,"DT NNP NNP NNP IN NNP , NNP , NN VBD DT NN NN NN NN IN CD CD NNP NNS TO DT NNP NNP NNP NNP NNP , NNP IN PRP TO VB NN NNS TO NNP .",O ORGANIZATION ORGANIZATION ORGANIZATION O ORGANIZATION O ORGANIZATION O O O O O O O O O MONEY MONEY MONEY MONEY O O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O LOCATION O,O /other/organization /other/organization /other/organization /other/organization /other/organization /other/organization /other/organization O /other/organization O O O O O O O /finance/currency /finance/currency /finance/currency /finance/currency O O /location/city /other/organization /other/organization /other/organization /other/organization /other/organization /other/organization O O O O O O O /location/country O,O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O DATE O O O O O O O MONEY MONEY MONEY MONEY O O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O COUNTRY O
